"playoff","pt_seq","pop_mean","pop_sd","zscore","prob"
"y",-10.8,3.05735294117647,2.82783113724848,-11.8811653146133,4.78338441547028e-07
"y",-10.7,3.05735294117647,2.82783113724848,-11.7811653146133,5.72330637183396e-07
"y",-10.6,3.05735294117647,2.82783113724848,-11.6811653146133,6.83965483152701e-07
"y",-10.5,3.05735294117647,2.82783113724848,-11.5811653146133,8.16388878730293e-07
"y",-10.4,3.05735294117647,2.82783113724848,-11.4811653146133,9.73275757050789e-07
"y",-10.3,3.05735294117647,2.82783113724848,-11.3811653146133,1.15891315958434e-06
"y",-10.2,3.05735294117647,2.82783113724848,-11.2811653146133,1.37829531751323e-06
"y",-10.1,3.05735294117647,2.82783113724848,-11.1811653146133,1.63723230115905e-06
"y",-10,3.05735294117647,2.82783113724848,-11.0811653146133,1.94247397380498e-06
"y",-9.9,3.05735294117647,2.82783113724848,-10.9811653146133,2.30185117688336e-06
"y",-9.8,3.05735294117647,2.82783113724848,-10.8811653146133,2.72443628028661e-06
"y",-9.7,3.05735294117647,2.82783113724848,-10.7811653146133,3.22072545517616e-06
"y",-9.6,3.05735294117647,2.82783113724848,-10.6811653146133,3.8028452676876e-06
"y",-9.5,3.05735294117647,2.82783113724848,-10.5811653146133,4.48478645083295e-06
"y",-9.4,3.05735294117647,2.82783113724848,-10.4811653146133,5.28266798901666e-06
"y",-9.3,3.05735294117647,2.82783113724848,-10.3811653146133,6.21503494508278e-06
"y",-9.2,3.05735294117647,2.82783113724848,-10.2811653146133,7.30319377367694e-06
"y",-9.1,3.05735294117647,2.82783113724848,-10.1811653146133,8.57158919668375e-06
"y",-9,3.05735294117647,2.82783113724848,-10.0811653146133,1.00482270660831e-05
"y",-8.9,3.05735294117647,2.82783113724848,-9.98116531461328,1.17651480059378e-05
"y",-8.8,3.05735294117647,2.82783113724848,-9.88116531461328,1.37589570072292e-05
"y",-8.7,3.05735294117647,2.82783113724848,-9.78116531461328,1.60714145453697e-05
"y",-8.6,3.05735294117647,2.82783113724848,-9.68116531461328,1.87500951984634e-05
"y",-8.5,3.05735294117647,2.82783113724848,-9.58116531461328,2.18491201623606e-05
"y",-8.4,3.05735294117647,2.82783113724848,-9.48116531461328,2.54299704832991e-05
"y",-8.3,3.05735294117647,2.82783113724848,-9.38116531461328,2.95623882569623e-05
"y",-8.2,3.05735294117647,2.82783113724848,-9.28116531461328,3.43253734700465e-05
"y",-8.1,3.05735294117647,2.82783113724848,-9.18116531461328,3.98082845821632e-05
"y",-8,3.05735294117647,2.82783113724848,-9.08116531461328,4.61120513567662e-05
"y",-7.9,3.05735294117647,2.82783113724848,-8.98116531461328,5.33505088436589e-05
"y",-7.8,3.05735294117647,2.82783113724848,-8.88116531461328,6.16518617857179e-05
"y",-7.7,3.05735294117647,2.82783113724848,-8.78116531461328,7.11602890612003e-05
"y",-7.6,3.05735294117647,2.82783113724848,-8.68116531461328,8.20376980720411e-05
"y",-7.5,3.05735294117647,2.82783113724848,-8.58116531461328,9.44656392388499e-05
"y",-7.4,3.05735294117647,2.82783113724848,-8.48116531461328,0.00010864739095503
"y",-7.3,3.05735294117647,2.82783113724848,-8.38116531461328,0.000124810225474989
"y",-7.2,3.05735294117647,2.82783113724848,-8.28116531461328,0.000143207866253602
"y",-7.1,3.05735294117647,2.82783113724848,-8.18116531461328,0.000164123147203905
"y",-7,3.05735294117647,2.82783113724848,-8.08116531461328,0.000187870884185103
