"conf_rank","pt_seq","pop_mean","pop_sd","zscore","prob"
1,-7.6,6.78875,1.88255104512467,-11.2061439170965,1.05928558749576e-14
1,-7.5,6.78875,1.88255104512467,-11.1061439170965,1.59829797622273e-14
1,-7.4,6.78875,1.88255104512467,-11.0061439170965,2.40489615725075e-14
1,-7.3,6.78875,1.88255104512467,-10.9061439170965,3.60851943634192e-14
1,-7.2,6.78875,1.88255104512467,-10.8061439170965,5.39953256208049e-14
1,-7.1,6.78875,1.88255104512467,-10.7061439170965,8.05708478800535e-14
1,-7,6.78875,1.88255104512467,-10.6061439170965,1.19893218917227e-13
1,-6.9,6.78875,1.88255104512467,-10.5061439170965,1.77912512280599e-13
1,-6.8,6.78875,1.88255104512467,-10.4061439170965,2.63277547316287e-13
1,-6.7,6.78875,1.88255104512467,-10.3061439170965,3.88523142321724e-13
1,-6.6,6.78875,1.88255104512467,-10.2061439170965,5.7176291624639e-13
1,-6.5,6.78875,1.88255104512467,-10.1061439170965,8.39095492648947e-13
1,-6.4,6.78875,1.88255104512467,-10.0061439170965,1.22801423272548e-12
1,-6.3,6.78875,1.88255104512467,-9.9061439170965,1.79222413767182e-12
1,-6.2,6.78875,1.88255104512467,-9.8061439170965,2.60842564368702e-12
1,-6.1,6.78875,1.88255104512467,-9.7061439170965,3.78583891634531e-12
1,-6,6.78875,1.88255104512467,-9.6061439170965,5.47953433336996e-12
1,-5.9,6.78875,1.88255104512467,-9.5061439170965,7.9090323416318e-12
1,-5.8,6.78875,1.88255104512467,-9.4061439170965,1.1384174957008e-11
1,-5.7,6.78875,1.88255104512467,-9.3061439170965,1.63409997331647e-11
1,-5.6,6.78875,1.88255104512467,-9.2061439170965,2.33913282110035e-11
1,-5.5,6.78875,1.88255104512467,-9.1061439170965,3.33910976309152e-11
1,-5.4,6.78875,1.88255104512467,-9.0061439170965,4.75342255805283e-11
1,-5.3,6.78875,1.88255104512467,-8.9061439170965,6.74811436923353e-11
1,-5.2,6.78875,1.88255104512467,-8.8061439170965,9.55342520469936e-11
1,-5.1,6.78875,1.88255104512467,-8.7061439170965,1.34876667810101e-10
1,-5,6.78875,1.88255104512467,-8.6061439170965,1.89896075173209e-10
1,-4.9,6.78875,1.88255104512467,-8.5061439170965,2.66622620235734e-10
1,-4.8,6.78875,1.88255104512467,-8.4061439170965,3.7331913350973e-10
1,-4.7,6.78875,1.88255104512467,-8.3061439170965,5.21274138925019e-10
1,-4.6,6.78875,1.88255104512467,-8.2061439170965,7.25863924516204e-10
1,-4.5,6.78875,1.88255104512467,-8.1061439170965,1.00797041773563e-09
1,-4.4,6.78875,1.88255104512467,-8.0061439170965,1.39586799562275e-09
1,-4.3,6.78875,1.88255104512467,-7.9061439170965,1.92772624950174e-09
1,-4.2,6.78875,1.88255104512467,-7.8061439170965,2.65491908144811e-09
1,-4.1,6.78875,1.88255104512467,-7.7061439170965,3.64638576595475e-09
1,-4,6.78875,1.88255104512467,-7.6061439170965,4.99435975514452e-09
1,-3.9,6.78875,1.88255104512467,-7.5061439170965,6.82186969971204e-09
1,-3.8,6.78875,1.88255104512467,-7.4061439170965,9.29252885806469e-09
1,-3.7,6.78875,1.88255104512467,-7.3061439170965,1.26232691729184e-08
1,-3.6,6.78875,1.88255104512467,-7.2061439170965,1.71008513143985e-08
1,-3.5,6.78875,1.88255104512467,-7.1061439170965,2.31031997175366e-08
1,-3.4,6.78875,1.88255104512467,-7.0061439170965,3.11268813672549e-08
1,-3.3,6.78875,1.88255104512467,-6.9061439170965,4.18223798033716e-08
1,-3.2,6.78875,1.88255104512467,-6.8061439170965,5.60392244744193e-08
1,-3.1,6.78875,1.88255104512467,-6.7061439170965,7.48835352946209e-08
1,-3,6.78875,1.88255104512467,-6.6061439170965,9.97911506259026e-08
1,-2.9,6.78875,1.88255104512467,-6.5061439170965,1.32620244176545e-07
1,-2.8,6.78875,1.88255104512467,-6.4061439170965,1.75768225661734e-07
1,-2.7,6.78875,1.88255104512467,-6.3061439170965,2.32318787818673e-07
1,-2.6,6.78875,1.88255104512467,-6.2061439170965,3.06226238110796e-07
1,-2.5,6.78875,1.88255104512467,-6.1061439170965,4.02545770181221e-07
1,-2.4,6.78875,1.88255104512467,-6.0061439170965,5.27720124211819e-07
1,-2.3,6.78875,1.88255104512467,-5.9061439170965,6.89935196485781e-07
1,-2.2,6.78875,1.88255104512467,-5.8061439170965,8.99559629341508e-07
1,-2.1,6.78875,1.88255104512467,-5.7061439170965,1.16968628862811e-06
1,-2,6.78875,1.88255104512467,-5.6061439170965,1.51679686391874e-06
1,-1.9,6.78875,1.88255104512467,-5.5061439170965,1.96157465526068e-06
1,-1.8,6.78875,1.88255104512467,-5.4061439170965,2.52989498699805e-06
1,-1.7,6.78875,1.88255104512467,-5.3061439170965,3.25402766013778e-06
1,-1.6,6.78875,1.88255104512467,-5.2061439170965,4.17409146185513e-06
1,-1.5,6.78875,1.88255104512467,-5.1061439170965,5.33980702967353e-06
1,-1.4,6.78875,1.88255104512467,-5.0061439170965,6.81260134491395e-06
1,-1.3,6.78875,1.88255104512467,-4.9061439170965,8.66812481876118e-06
1,-1.2,6.78875,1.88255104512467,-4.8061439170965,1.09992503316668e-05
1,-1.1,6.78875,1.88255104512467,-4.7061439170965,1.39196326686824e-05
1,-1,6.78875,1.88255104512467,-4.6061439170965,1.75679165096967e-05
1,-0.899999999999999,6.78875,1.88255104512467,-4.5061439170965,2.21126914033334e-05
1,-0.799999999999999,6.78875,1.88255104512467,-4.4061439170965,2.77583028587585e-05
1,-0.699999999999999,6.78875,1.88255104512467,-4.3061439170965,3.4751639670894e-05
1,-0.6,6.78875,1.88255104512467,-4.2061439170965,4.33900286437244e-05
1,-0.5,6.78875,1.88255104512467,-4.1061439170965,5.40303787324756e-05
1,-0.399999999999999,6.78875,1.88255104512467,-4.0061439170965,6.7099726969307e-05
1,-0.299999999999999,6.78875,1.88255104512467,-3.9061439170965,8.31073479875398e-05
1,-0.199999999999999,6.78875,1.88255104512467,-3.8061439170965,0.000102658597070139
1,-0.0999999999999996,6.78875,1.88255104512467,-3.7061439170965,0.00012647066290665
1,0,6.78875,1.88255104512467,-3.6061439170965,0.000155390410071
1,0.100000000000001,6.78875,1.88255104512467,-3.5061439170965,0.000190414491989852
1,0.200000000000001,6.78875,1.88255104512467,-3.4061439170965,0.000232711912160299
1,0.300000000000001,6.78875,1.88255104512467,-3.3061439170965,0.000283649203851963
1,0.4,6.78875,1.88255104512467,-3.2061439170965,0.000344818385712501
1,0.5,6.78875,1.88255104512467,-3.1061439170965,0.000418067831790032
