"playoff","pt_seq","pop_mean","pop_sd","zscore","prob","prob_pct"
"y",-12.5,3.05735294117647,2.82783113724848,-13.5811653146133,1.88271721384095e-08,"0%"
"y",-12.4,3.05735294117647,2.82783113724848,-13.4811653146133,2.29955866493596e-08,"0%"
"y",-12.3,3.05735294117647,2.82783113724848,-13.3811653146133,2.80527917762745e-08,"0%"
"y",-12.2,3.05735294117647,2.82783113724848,-13.2811653146133,3.41806287053399e-08,"0%"
"y",-12.1,3.05735294117647,2.82783113724848,-13.1811653146133,4.15964761835522e-08,"0%"
"y",-12,3.05735294117647,2.82783113724848,-13.0811653146133,5.05598464742058e-08,"0%"
"y",-11.9,3.05735294117647,2.82783113724848,-12.9811653146133,6.13801351317069e-08,"0%"
"y",-11.8,3.05735294117647,2.82783113724848,-12.8811653146133,7.442571280558e-08,"0%"
"y",-11.7,3.05735294117647,2.82783113724848,-12.7811653146133,9.01345754617355e-08,"0%"
"y",-11.6,3.05735294117647,2.82783113724848,-12.6811653146133,1.09026801360123e-07,"0%"
"y",-11.5,3.05735294117647,2.82783113724848,-12.5811653146133,1.31719099281735e-07,"0%"
"y",-11.4,3.05735294117647,2.82783113724848,-12.4811653146133,1.58941773321139e-07,"0%"
"y",-11.3,3.05735294117647,2.82783113724848,-12.3811653146133,1.91558475557691e-07,"0%"
"y",-11.2,3.05735294117647,2.82783113724848,-12.2811653146133,2.30589169632617e-07,"0%"
"y",-11.1,3.05735294117647,2.82783113724848,-12.1811653146133,2.7723678627225e-07,"0%"
"y",-11,3.05735294117647,2.82783113724848,-12.0811653146133,3.32918116731157e-07,"0%"
"y",-10.9,3.05735294117647,2.82783113724848,-11.9811653146133,3.99299562641919e-07,"0%"
"y",-10.8,3.05735294117647,2.82783113724848,-11.8811653146133,4.78338441547026e-07,"0%"
"y",-10.7,3.05735294117647,2.82783113724848,-11.7811653146133,5.72330637183393e-07,"0%"
"y",-10.6,3.05735294117647,2.82783113724848,-11.6811653146133,6.83965483152699e-07,"0%"
"y",-10.5,3.05735294117647,2.82783113724848,-11.5811653146133,8.1638887873029e-07,"0%"
"y",-10.4,3.05735294117647,2.82783113724848,-11.4811653146133,9.73275757050789e-07,"0%"
"y",-10.3,3.05735294117647,2.82783113724848,-11.3811653146133,1.15891315958434e-06,"0%"
"y",-10.2,3.05735294117647,2.82783113724848,-11.2811653146133,1.37829531751323e-06,"0%"
"y",-10.1,3.05735294117647,2.82783113724848,-11.1811653146133,1.63723230115905e-06,"0%"
"y",-10,3.05735294117647,2.82783113724848,-11.0811653146133,1.94247397380497e-06,"0%"
"y",-9.9,3.05735294117647,2.82783113724848,-10.9811653146133,2.30185117688335e-06,"0%"
"y",-9.8,3.05735294117647,2.82783113724848,-10.8811653146133,2.72443628028659e-06,"0%"
"y",-9.7,3.05735294117647,2.82783113724848,-10.7811653146133,3.22072545517614e-06,"0%"
"y",-9.6,3.05735294117647,2.82783113724848,-10.6811653146133,3.8028452676876e-06,"0%"
"y",-9.5,3.05735294117647,2.82783113724848,-10.5811653146133,4.48478645083294e-06,"0%"
"y",-9.4,3.05735294117647,2.82783113724848,-10.4811653146133,5.28266798901664e-06,"0%"
"y",-9.3,3.05735294117647,2.82783113724848,-10.3811653146133,6.21503494508276e-06,"0%"
"y",-9.2,3.05735294117647,2.82783113724848,-10.2811653146133,7.30319377367691e-06,"0%"
"y",-9.1,3.05735294117647,2.82783113724848,-10.1811653146133,8.57158919668375e-06,"0%"
